"profile_id","EthnicitySelf","gender","AgeRated","FemaleProb","MaleProb","Attractive","photo","age","attr_level"
"WF-001","W","F",24.94949495,0.96969697,0.03030303,3.105263158,"WF-001.jpg",25,"medium"
"WF-002","W","F",30.15957447,0.968085106,0.031914894,1.612903226,"WF-002.jpg",30,"low"
"WF-003","W","F",26.71428571,1,0,4.89010989,"WF-003.jpg",27,"high"
"WF-005","W","F",22.39325843,1,0,3.033707865,"WF-005.jpg",22,"medium"
"WF-006","W","F",24.33684211,1,0,3.478723404,"WF-006.jpg",24,"high"
"WF-007","W","F",21.79787234,0.957446809,0.042553191,2.892473118,"WF-007.jpg",22,"medium"
"WF-008","W","F",30.21052632,1,0,2.734042553,"WF-008.jpg",30,"low"
"WF-009","W","F",23.30526316,0.968085106,0.031914894,3.191489362,"WF-009.jpg",23,"medium"
"WF-010","W","F",26.25,0.976470588,0.023529412,2.011764706,"WF-010.jpg",26,"low"
"WF-011","W","F",24.04166667,0.989361702,0.010638298,4.129032258,"WF-011.jpg",24,"high"
"WF-012","W","F",23.17525773,1,0,4.663157895,"WF-012.jpg",23,"high"
"WF-013","W","F",26.42391304,0.989130435,0.010869565,3.565217391,"WF-013.jpg",26,"high"
"WF-014","W","F",36.1,0.988888889,0.011111111,3.280898876,"WF-014.jpg",36,"medium"
"WF-015","W","F",24.21111111,0.989010989,0.010989011,4.648351648,"WF-015.jpg",24,"high"
"WF-016","W","F",25.41111111,1,0,3.707865169,"WF-016.jpg",25,"high"
"WF-017","W","F",23.30337079,1,0,3.280898876,"WF-017.jpg",23,"medium"
"WF-018","W","F",33.86516854,1,0,3.685393258,"WF-018.jpg",34,"high"
"WF-019","W","F",28.34782609,1,0,2.933333333,"WF-019.jpg",28,"medium"
"WF-020","W","F",26.02222222,0.988764045,0.011235955,3.325842697,"WF-020.jpg",26,"medium"
"WF-021","W","F",25.69230769,0.989010989,0.010989011,3.934065934,"WF-021.jpg",26,"high"
"WF-022","W","F",19.91397849,1,0,5.086956522,"WF-022.jpg",20,"high"
"WF-023","W","F",32.74193548,1,0,2.739130435,"WF-023.jpg",33,"low"
"WF-024","W","F",23.93617021,1,0,4.755319149,"WF-024.jpg",24,"high"
"WF-025","W","F",28.10869565,0.989130435,0.010869565,4.304347826,"WF-025.jpg",28,"high"
"WF-026","W","F",37.22680412,0.979381443,0.020618557,1.721649485,"WF-026.jpg",37,"low"
"WF-027","W","F",21.29213483,1,0,4.685393258,"WF-027.jpg",21,"high"
"WF-028","W","F",27.25,0.989130435,0.010869565,2.47826087,"WF-028.jpg",27,"low"
"WF-029","W","F",24.36046512,1,0,4.223529412,"WF-029.jpg",24,"high"
"WF-030","W","F",24.17977528,0.966292135,0.033707865,2.730337079,"WF-030.jpg",24,"low"
"WF-031","W","F",23.23529412,0.988095238,0.011904762,4.12195122,"WF-031.jpg",23,"high"
"WF-033","W","F",32.04040404,1,0,3.393939394,"WF-033.jpg",32,"high"
"WF-034","W","F",28.11827957,0.913043478,0.086956522,2.182795699,"WF-034.jpg",28,"low"
"WF-035","W","F",24.76136364,0.977011494,0.022988506,3.390804598,"WF-035.jpg",25,"medium"
"WF-036","W","F",22.64444444,0.988888889,0.011111111,2.898876404,"WF-036.jpg",23,"medium"
"WF-037","W","F",23.5,0.979166667,0.020833333,2.688172043,"WF-037.jpg",24,"low"
"WF-038","W","F",28.72282609,1,0,3.315217391,"WF-038.jpg",29,"medium"
"WF-039","W","F",23.72340426,1,0,3.364583333,"WF-039.jpg",24,"medium"
"WM-001","W","M",16.93548387,0.032258065,0.967741935,2.64516129,"WM-001.jpg",17,"low"
"WM-002","W","M",30.43209877,0,1,2.5125,"WM-002.jpg",30,"low"
"WM-003","W","M",23.3452381,0,1,3.682926829,"WM-003.jpg",23,"high"
"WM-004","W","M",25.8172043,0,1,4.663043478,"WM-004.jpg",26,"high"
"WM-006","W","M",25.64534884,0,1,3.511627907,"WM-006.jpg",26,"high"
"WM-009","W","M",23.69565217,0,1,4.076086957,"WM-009.jpg",24,"high"
"WM-010","W","M",27.39784946,0.010752688,0.989247312,2.282608696,"WM-010.jpg",27,"low"
"WM-011","W","M",30.98863636,0,1,3.170454545,"WM-011.jpg",31,"medium"
"WM-012","W","M",32.14444444,0.022222222,0.977777778,2.840909091,"WM-012.jpg",32,"medium"
"WM-013","W","M",32.37931034,0,1,2.755813953,"WM-013.jpg",32,"low"
"WM-014","W","M",33.71428571,0,1,3.476190476,"WM-014.jpg",34,"high"
"WM-015","W","M",23.37209302,0,1,3.511627907,"WM-015.jpg",23,"high"
"WM-016","W","M",30.39534884,0.011627907,0.988372093,3.255813953,"WM-016.jpg",30,"high"
"WM-017","W","M",23.58510638,0,1,2.361702128,"WM-017.jpg",24,"low"
"WM-018","W","M",36.16304348,0,1,2.7,"WM-018.jpg",36,"low"
"WM-019","W","M",25.10869565,0,1,2.282608696,"WM-019.jpg",25,"low"
"WM-020","W","M",34.96590909,0,1,2.693181818,"WM-020.jpg",35,"low"
"WM-021","W","M",29.11627907,0.011627907,0.988372093,2.658823529,"WM-021.jpg",29,"low"
"WM-022","W","M",29.06451613,0,1,2.891304348,"WM-022.jpg",29,"medium"
"WM-023","W","M",37.59340659,0,1,2.866666667,"WM-023.jpg",38,"medium"
"WM-024","W","M",20.81707317,0,1,3.646341463,"WM-024.jpg",21,"high"
"WM-025","W","M",21.12359551,0.011235955,0.988764045,2.784090909,"WM-025.jpg",21,"medium"
"WM-026","W","M",25.68604651,0,1,3.093023256,"WM-026.jpg",26,"medium"
"WM-028","W","M",24.92682927,0.012345679,0.987654321,3.2,"WM-028.jpg",25,"medium"
"WM-029","W","M",28.5862069,0.011494253,0.988505747,4.586206897,"WM-029.jpg",29,"high"
"WM-031","W","M",21.73563218,0,1,3.045977011,"WM-031.jpg",22,"medium"
"WM-032","W","M",25.49425287,0,1,2.643678161,"WM-032.jpg",25,"low"
"WM-033","W","M",26.59340659,0.021978022,0.978021978,3.846153846,"WM-033.jpg",27,"high"
"WM-034","W","M",23.22093023,0,1,2.698795181,"WM-034.jpg",23,"low"
"WM-035","W","M",20.70652174,0,1,2.164835165,"WM-035.jpg",21,"low"
"WM-036","W","M",22.6627907,0.011764706,0.988235294,2.76744186,"WM-036.jpg",23,"medium"
"WM-037","W","M",17.55172414,0,1,2.431818182,"WM-037.jpg",18,"low"
"WM-038","W","M",25.51685393,0.011235955,0.988764045,2.617977528,"WM-038.jpg",26,"low"
"WM-039","W","M",19.23863636,0.011494253,0.988505747,2.430232558,"WM-039.jpg",19,"low"
"WM-040","W","M",25.11702128,0.010638298,0.989361702,3.053763441,"WM-040.jpg",25,"medium"
"WM-041","W","M",24.96511628,0,1,2.141176471,"WM-041.jpg",25,"low"
